title,artist,year,position,mood_tone,instrumentation,genre,lyrics
Lollipop,Lil Wayne feat. Static Major,2008,4,"provocative, catchy, hypnotic","synth bass, auto-tuned vocals",hip hop,"[Intro]
She said, ""Go ahead and taste it...""  

[Verse]
Shorty got that sugar twist  
Make a player reminisce  
She got fire in her stride  
Turnin’ heads when she ride  

[Chorus]
She lick me like a lollipop  
Won’t stop ‘til the beat drop  
Candy sweet, yeah it’s wild  
Got me lost in her style  

[Verse]
Her touch is heat, her lips are gold  
This kind of love don’t ever get old  
Turn the lights down, let it roll  
Tonight she got full control  

[Bridge]
One more taste, I lose my mind  
She got that vibe that’s hard to find  

[Chorus]
She lick me like a lollipop  
Won’t stop ‘til the beat drop  
Candy sweet, yeah it’s wild  
Got me lost in her style"
Apologize,Timbaland feat. OneRepublic,2008,5,"regretful, dramatic, soft","piano, minimal backing, male vocals","pop, ballad","[Verse]
I'm holding on to something gone  
These words feel weak, I can’t go on  
You said you’d stay, but now you’re cold  
This love’s too cracked to hold  

[Chorus]
It’s too late to apologize  
I needed truth, not pretty lies  
I gave my heart, you let it break  
Now all I feel is the ache  

[Verse]
I took a chance, you watched me fall  
Tried to stand, you gave no call  
Now here I am, still reaching out  
But you turned silence into doubt  

[Bridge]
Don’t say sorry, it’s past due  
I needed more than that from you  

[Chorus]
It’s too late to apologize  
I needed truth, not pretty lies  
I gave my heart, you let it break  
Now all I feel is the ache  

[Outro]
It’s too late"
Boom Boom Pow,The Black Eyed Peas,2009,1,"futuristic, intense, bold","electronic synths, heavy bass","electropop, hip hop","[Intro]
Boom boom boom, gotta get that  

[Verse]
I step on the scene, futuristic flow  
Light years ahead, now you know  
Beats so hot, it’s meltin’ steel  
Shock the crowd with that digital feel  

[Chorus]
Boom boom pow, we bring the sound  
Make you wanna jump and break it down  
Electric vibes, the future’s here  
Feel that bass ring in your ear  

[Verse]
From L.A. to outer space  
Droppin' hits all over the place  
We on a mission, no delay  
Laser light up your DNA  

[Bridge]
Robotic moves and cosmic grace  
Feel the pulse all in your face  

[Chorus]
Boom boom pow, we bring the sound  
Make you wanna jump and break it down  
Electric vibes, the future’s here  
Feel that bass ring in your ear"
Poker Face,Lady Gaga,2009,2,"enigmatic, stylish, rhythmic","electropop beat, female vocals",electropop,"[Verse]
I wear a mask, I play the part  
I hide the truth, protect my heart  
You think you know what I intend  
But love and lies can twist and bend  

[Chorus]
Can't read my, can't read my  
No you can't read my poker face  
Behind the glance, I stay composed  
You’ll never know the hand I chose  

[Verse]
I dance alone inside this game  
You chase the thrill, I light the flame  
I bet it all, you call my bluff  
But mystery is just enough  

[Bridge]
In every glance, a secret lies  
You see the surface, not inside  

[Chorus]
Can't read my, can't read my  
No you can't read my poker face  
Behind the glance, I stay composed  
You’ll never know the hand I chose"
Just Dance,Lady Gaga feat. Colby O'Donis,2009,3,"upbeat, carefree, danceable","club beat, synths, pop vocals",dance-pop,"[Intro]
RedOne! Let's go!  

[Verse]
I lost my phone, but I found the light  
My heels too high, but I feel all right  
Hands in the air, beat’s on repeat  
Movin’ wild on reckless feet  

[Chorus]
Just dance, it's gonna be okay  
Spin it up and fade away  
DJ, let the record play  
Just dance, it's all okay  

[Verse]
Club’s on fire, I’m in control  
Tonight I'm free, I bare my soul  
Through the rhythm, I escape  
One more drink and no mistake  

[Bridge]
Music saves me, every time  
I lose my fear and find my mind  

[Chorus]
Just dance, it's gonna be okay  
Spin it up and fade away  
DJ, let the record play  
Just dance, it's all okay"
I Gotta Feeling,The Black Eyed Peas,2009,4,"celebratory, uplifting, party","club beats, pop vocals",dance-pop,"[Verse]
I got a feelin' tonight's the night  
We shine so bright, we own the light  
Champagne poppin', nothin’ wrong  
Everybody sing along  

[Chorus]
Tonight’s gonna be a good night  
Feelin’ like the world’s just right  
Hands up high, take the chance  
Lose yourself inside this dance  

[Verse]
Call your friends, tell them now  
We about to show 'em how  
Every moment, let it rise  
Celebrate under the skies  

[Bridge]
No more waiting, time is now  
Let’s get wild and take a bow  

[Chorus]
Tonight’s gonna be a good night  
Feelin’ like the world’s just right  
Hands up high, take the chance  
Lose yourself inside this dance  

[Outro]
Good, good night"
Love Story,Taylor Swift,2009,5,"romantic, fairy-tale, emotional","acoustic guitar, strings, female vocals",country-pop,"[Verse]
We met beneath the twilight sky  
I saw the truth in your shy eyes  
Our families said we can’t be  
But I believe in destiny  

[Chorus]
This is a love story, bold and bright  
We held on through the darkest night  
You said, “Baby, run away with me”  
And I said, “Yes, just wait and see”  

[Verse]
We carved our names in hidden stone  
Built our dreams and made our own  
Even when the world said no  
We held tight and didn’t let go  

[Bridge]
I heard you whisper through the rain  
“Let’s write a tale they can’t explain”  

[Chorus]
This is a love story, bold and bright  
We held on through the darkest night  
You said, “Baby, run away with me”  
And I said, “Yes, just wait and see”  

[Outro]
Our love story"
Tik Tok,Kesha,2010,1,"wild, carefree, energetic","synths, autotuned vocals, club beat","electropop, dance-pop","[Intro]
Wake up in the morning feelin’ like a queen  
Brushed my teeth with glitter and a dream  

[Verse]
Got my boots, I hit the street  
This beat’s my throne, I move my feet  
No rules tonight, we breakin’ free  
Just me, the stars, and destiny  

[Chorus]
Tik tok, don’t stop  
Party’s rising to the top  
Turn it loud, shake the night  
We own the world, we shine so bright  

[Verse]
Mirror ball and cherry lips  
Take your shot, we never miss  
Pour it up, let’s lose control  
We’re living fast, we’re on a roll  

[Bridge]
Sun comes up, we’re still alive  
Glitter trails where we arrive  

[Chorus]
Tik tok, don’t stop  
Party’s rising to the top  
Turn it loud, shake the night  
We own the world, we shine so bright"
Need You Now,Lady Antebellum,2010,2,"longing, nostalgic, emotional","piano, country instrumentation, vocal harmony",country-pop,"[Verse]
It’s a quarter after one, I’m all alone  
Staring at my phone, hoping you’d call home  
We said goodbye, but I can’t pretend  
That I don’t miss you again and again  

[Chorus]
I need you now, more than I knew  
Lonely silence, thinkin’ of you  
It’s reckless, yeah, it’s not wise  
But I need you now, no alibis  

[Verse]
I told myself to walk away  
But your memory begs to stay  
Every song pulls you near  
Even when you're not here  

[Bridge]
If I could go back, I just might  
Just to feel your arms tonight  

[Chorus]
I need you now, more than I knew  
Lonely silence, thinkin’ of you  
It’s reckless, yeah, it’s not wise  
But I need you now, no alibis"
"Hey, Soul Sister",Train,2010,3,"cheerful, quirky, romantic","ukulele, pop beat, male vocals",pop rock,"[Verse]
Hey soul sister, what’s your name?  
You light up rooms like summer flame  
You dance on beats no one can hear  
But I feel it every time you're near  

[Chorus]
You're my one, my midnight song  
The melody where I belong  
Hey soul sister, don’t let go  
We found the rhythm long ago  

[Verse]
Your eyes write lines in harmony  
Your laughter's sweet like poetry  
We might be odd, but we're just right  
You bring the color to my night  

[Bridge]
And when the silence steals the tune  
You hum me back beneath the moon  

[Chorus]
You're my one, my midnight song  
The melody where I belong  
Hey soul sister, don’t let go  
We found the rhythm long ago"
California Gurls,Katy Perry feat. Snoop Dogg,2010,4,"fun, summery, colorful","synths, female vocals, rap verse","pop, electropop","[Intro]
West coast, best coast  

[Verse]
Sunset skies and ocean breeze  
Flip-flop steps, we move with ease  
Cherry lips, golden tan  
We got the world right in our hands  

[Chorus]
California gurls, we shine so bright  
From Malibu to neon nights  
Ice cream smiles and wild curls  
This is the place that rules the world  

[Verse]
Palm trees sway, DJ spins  
Laughter loud, let’s dive right in  
Sippin’ sweet on pink champagne  
Let’s dance beneath the sun and rain  

[Bridge]
You ain’t seen magic till you’ve seen this  
Sun-kissed queens, it’s bliss  

[Chorus]
California gurls, we shine so bright  
From Malibu to neon nights  
Ice cream smiles and wild curls  
This is the place that rules the world"
OMG,Usher feat. will.i.am,2010,5,"flirty, danceable, upbeat","electronic beats, auto-tune vocals","R&B, dance-pop","[Intro]
Oh my gosh  

[Verse]
She walked in and lit the floor  
Every eye said “I want more”  
Drop that beat, she owns the vibe  
Feels like the best night of my life  

[Chorus]
O-M-G, she’s blowin’ my mind  
Can’t look away, not this time  
Everything about her’s tight  
She got me sayin’ it all night  

[Verse]
Lights go low, she don’t slow down  
Body rollin’ to the sound  
She’s a fire I can’t fight  
Lost in her, it feels so right  

[Bridge]
This must be some kind of dream  
But she’s real and she’s on my team  

[Chorus]
O-M-G, she’s blowin’ my mind  
Can’t look away, not this time  
Everything about her’s tight  
She got me sayin’ it all night  

[Outro]
O-M-G"
Rolling in the Deep,Adele,2011,1,"intense, emotional, empowering, vengeful","acoustic guitar, kick drum, snare, handclaps, backing vocals","soul, blues, gospel, pop","[Verse]
There’s a fire inside my chest  
Burning brighter than the rest  
You said you'd never let me down  
But now you’re lost, and I won’t drown  

[Chorus]
We could’ve had it all  
But you built the rise just for the fall  
Now I’m dancing on the ash  
Of every promise you let crash  

[Verse]
You played me like a fragile string  
Pulled me close, then clipped my wing  
But I’ve risen, feel the heat  
Now you’re the one who tastes defeat  

[Bridge]
You’ll remember every cry  
When you feel your own goodbye  

[Chorus]
We could’ve had it all  
But you built the rise just for the fall  
Now I’m dancing on the ash  
Of every promise you let crash"
Party Rock Anthem,LMFAO feat. Lauren Bennett and GoonRock,2011,2,"energetic, fun, party, carefree","electronic synths, drum machine, autotuned vocals, synth bass","electro house, dance-pop","[Intro]
Party rock is in the house tonight...  

[Verse]
Bass drops hard, we lose control  
Glasses up, we hit the goal  
Every body in the zone  
Shufflin’ like we own the throne  

[Chorus]
Party rock, we don't sleep  
We go hard and dive so deep  
Feel that beat in every bone  
Tonight we claim this place our own  

[Verse]
Laser lights and wild sound  
We shake the floor, we break the ground  
This is more than just a night  
It’s neon dreams and flashing light  

[Bridge]
Hands up high, don’t let go  
We turn it up and steal the show  

[Chorus]
Party rock, we don't sleep  
We go hard and dive so deep  
Feel that beat in every bone  
Tonight we claim this place our own"
Firework,Katy Perry,2011,3,"uplifting, inspirational, empowering","synth strings, piano, electronic drums, layered vocals","dance-pop, pop","[Verse]
Do you ever feel too small  
Like no one sees you at all?  
But deep inside, a spark will rise  
To paint your name across the skies  

[Chorus]
You’re a firework, don’t you see?  
Meant to shine eternally  
Let it burst, let it fly  
You're the color in the sky  

[Verse]
When the world tries to dim your flame  
Don’t forget you own your name  
You were born to burn so bright  
A beacon in the darkest night  

[Bridge]
Open up and light the fuse  
You’ve got nothing left to lose  

[Chorus]
You’re a firework, don’t you see?  
Meant to shine eternally  
Let it burst, let it fly  
You're the color in the sky"
E.T.,Katy Perry feat. Kanye West,2011,4,"mysterious, sensual, futuristic","electronic beats, dubstep elements, autotuned vocals","electronic, pop, hip hop","[Verse]
You don’t speak, but I hear your sound  
A voice from stars, so deep, profound  
You pull me close, defy the time  
A love unknown, but so divine  

[Chorus]
You're from another world  
I feel the pull, I feel the swirl  
You crash like light into my soul  
Now I’m not in control  

[Verse]
Your touch is sharp, electric bright  
I dream of you in cosmic light  
Strange and beautiful, surreal  
Only you can make me feel  

[Bridge]
Alien heart, magnetic draw  
You break the rules, rewrite the law  

[Chorus]
You're from another world  
I feel the pull, I feel the swirl  
You crash like light into my soul  
Now I’m not in control"
Give Me Everything,"Pitbull feat. Ne-Yo, Afrojack and Nayer",2011,5,"upbeat, romantic, celebratory","synths, electronic beats, male vocals, rap verses","dance-pop, pop-rap, EDM","[Verse]
Tonight’s the night, no looking back  
We’re chasing stars down every track  
One chance to dance, one chance to feel  
We live this moment ‘cause it’s real  

[Chorus]
Give me everything tonight  
Your love, your fire, your neon light  
Let’s not wait, just make it true  
Give me everything, just me and you  

[Verse]
From city streets to velvet skies  
We own the night, no need for lies  
Let the beat take us there  
No tomorrow, we don’t care  

[Bridge]
Every second is a gift  
Let the music make us lift  

[Chorus]
Give me everything tonight  
Your love, your fire, your neon light  
Let’s not wait, just make it true  
Give me everything, just me and you"
Somebody That I Used to Know,Gotye feat. Kimbra,2012,1,"haunting, regretful, introspective","xylophone, sparse beat, male/female vocals","indie pop, art pop","[Verse]
We used to talk 'til the sun would rise  
Shared all our fears, never wore disguise  
Now your voice is just an echo in my head  
You turned away, and all you said...  

[Chorus]
You're somebody that I used to know  
A stranger in the afterglow  
You vanished in the words you spoke  
Now I just breathe through all the smoke  

[Verse]
We built our world on fragile dreams  
Now I walk alone through broken themes  
You closed the door, I lost the key  
And now you’re just a memory  

[Bridge]
I reach for ghosts in every sound  
But nothing’s left, not even ground  

[Chorus]
You're somebody that I used to know  
A stranger in the afterglow  
You vanished in the words you spoke  
Now I just breathe through all the smoke"
Call Me Maybe,Carly Rae Jepsen,2012,2,"fun, flirty, catchy","pop beat, synths, female vocals",bubblegum pop,"[Intro]
Hey, I just met you...  

[Verse]
You threw a glance, I caught my breath  
Like sunlight danced, defying death  
My heart raced fast, my mind went blank  
You're the spark that filled my tank  

[Chorus]
So call me maybe, don't be shy  
This might be love, or just a try  
Gave you my number in the rain  
Hoping you might feel the same  

[Verse]
I didn’t plan, I didn’t think  
But something made me stop and blink  
If you don’t call, I’ll still be fine  
But don’t pretend you missed the sign  

[Bridge]
It’s crazy, yeah, I know it is  
But every great love starts like this  

[Chorus]
So call me maybe, don’t be shy  
This might be love, or just a try  
Gave you my number in the rain  
Hoping you might feel the same"
We Are Young,Fun feat. Janelle Monae,2012,3,"youthful, dramatic, empowering","anthemic instrumentation, strong vocals",pop rock,"[Verse]
Tonight we're wild, we leave the past  
We light this match, make moments last  
Our hearts may break, but not tonight  
We burn like stars in morning light  

[Chorus]
We are young, and we are fire  
Chasing echoes, climbing higher  
Take my hand and run away  
We’ll own the night and break the day  

[Verse]
Mistakes behind us like old songs  
We find our place where we belong  
One more drink, one more fight  
But love redeems us every night  

[Bridge]
Let the ceilings fall away  
Let tomorrow fade to gray  

[Chorus]
We are young, and we are fire  
Chasing echoes, climbing higher  
Take my hand and run away  
We’ll own the night and break the day"
Payphone,Maroon 5 feat. Wiz Khalifa,2012,4,"heartfelt, poppy, nostalgic","piano, pop rock arrangement","pop rock, hip hop","[Verse]
I’m at a payphone, out in the cold  
Coins in hand, stories retold  
You left a silence I can’t break  
I called you now for old time’s sake  

[Chorus]
If happy ever afters fade  
Then why do I still feel this way?  
Tried to reach you through this tone  
But it’s too late, and I’m alone  

[Verse]
You moved on, I stayed behind  
Still rewinding through my mind  
Your number’s gone, your name erased  
But somehow I still see your face  

[Bridge]
One more call before I go  
Just needed you to know  

[Chorus]
If happy ever afters fade  
Then why do I still feel this way?  
Tried to reach you through this tone  
But it’s too late, and I’m alone"
Lights,Ellie Goulding,2012,5,"dreamy, mellow, hopeful","synths, airy vocals",electropop,"[Verse]
I wander in a world gone dim  
Hoping you’ll come back again  
But every shadow hides your light  
And I get lost in endless night  

[Chorus]
But your lights, they guide me home  
Through the dark where I used to roam  
When I fall, they pull me through  
I find the light again in you  

[Verse]
My heartbeat echoes with the sound  
Of every time you’re not around  
But still your glow is on my skin  
Reminding me of where I’ve been  

[Bridge]
I’m not afraid of what I see  
As long as you keep shining me  

[Chorus]
Your lights, they guide me home  
Through the dark where I used to roam  
When I fall, they pull me through  
I find the light again in you"
Thrift Shop,Macklemore and Ryan Lewis feat. Wanz,2013,1,"fun, quirky, satirical","brass samples, rap vocals",hip hop,"[Intro]
I'm gonna pop some tags...  

[Verse]
Walkin’ through the thrift store, feelin’ like a king  
Got my fur coat on, yeah, I'm doin' my thing  
Two bucks in my pocket, watch me shine  
Style ain’t cost, it’s state of mind  

[Chorus]
I’m fresh, I’m clean, in secondhand threads  
Rockin’ old school kicks and vintage dreads  
It’s not about price, it’s how you wear it  
Thrift life, baby, don’t you dare compare it  

[Verse]
Grandpa’s sweater, grandma’s shades  
Turnin' looks, breakin’ fades  
This ain't Gucci, this ain't bling  
But I feel like royalty in everything  

[Bridge]
Who needs labels when you’ve got soul?  
Stitch it up and take control  

[Chorus]
I’m fresh, I’m clean, in secondhand threads  
Rockin’ old school kicks and vintage dreads  
It’s not about price, it’s how you wear it  
Thrift life, baby, don’t you dare compare it"
Blurred Lines,Robin Thicke feat. TI and Pharrell Williams,2013,2,"catchy, controversial, upbeat","funky rhythm, falsetto vocals","R&B, pop","[Verse]
You walk in with that look tonight  
And I can’t help but feel the light  
You blur the lines between right and wrong  
But with you, it don’t take long  

[Chorus]
You got that blurred line, can’t define  
What’s yours, what’s yours becomes mine  
You play the game, I play it too  
But I only wanna dance with you  

[Verse]
Got that smile that pulls me in  
Your rhythm’s wild beneath your skin  
You say stop, but your body says go  
So tell me what I need to know  

[Bridge]
A little mystery’s fine by me  
Let’s write our own reality  

[Chorus]
You got that blurred line, can’t define  
What’s yours, what’s yours becomes mine  
You play the game, I play it too  
But I only wanna dance with you"
Radioactive,Imagine Dragons,2013,3,"tense, cinematic, powerful","heavy drums, gritty guitar",alternative rock,"[Intro]
Whoa, oh, oh  

[Verse]
I breathe it in, this morning air  
Feels like the end is everywhere  
Ashes fall like paper snow  
This new world is all I know  

[Chorus]
Radioactive, under skin  
A fire starts where fears begin  
This silence screams, the ground it shakes  
But from the dust, a soul awakes  

[Verse]
Steel and stone, no place to hide  
But there’s a storm I hold inside  
This isn’t death, it’s second birth  
I’m made anew upon this earth  

[Bridge]
The old is gone, the light is near  
I rise above the smoke and fear  

[Chorus]
Radioactive, under skin  
A fire starts where fears begin  
This silence screams, the ground it shakes  
But from the dust, a soul awakes"
Harlem Shake,Baauer,2013,4,"chaotic, humorous, viral","trap beats, minimal vocals","trap, EDM",
Can't Hold Us,Macklemore and Ryan Lewis feat. Ray Dalton,2013,5,"energetic, anthemic, motivational",orchestral hip hop fusion,"hip hop, alternative","[Intro]
Here we go back, this is the moment  

[Verse]
I came from the bottom, learned to rise  
With fire in my voice and stars in my eyes  
A dream too big, a heart too loud  
Can’t hold me down, I break the crowd  

[Chorus]
Can’t hold us, we go high  
Chasin’ dreams into the sky  
Turn the beat up, raise your voice  
Make the world feel your choice  

[Verse]
March with pride through every street  
No defeat when you move your feet  
Say my name, I’m not ashamed  
I built this fire, I feed the flame  

[Bridge]
No ceiling, no cage  
This is freedom on a stage  

[Chorus]
Can’t hold us, we go high  
Chasin’ dreams into the sky  
Turn the beat up, raise your voice  
Make the world feel your choice  

[Outro]
Let the people sing"
Happy,Pharrell Williams,2014,1,"joyful, carefree, infectious","claps, upbeat rhythm, solo vocals","soul, pop","[Verse]
Sunlight dancing on my face  
Every shadow finds its place  
No more waiting for the spark  
I've got joy inside my heart  

[Chorus]
Because I’m happy, can’t explain  
Like a rhythm in the rain  
Hands up high, just let it be  
This is how it feels to be free  

[Verse]
Don’t need riches, don’t need fame  
Just that feeling I can’t name  
It’s a groove that never ends  
Smiling with the world again  

[Bridge]
If you feel it, clap along  
Like your heart just wrote this song  

[Chorus]
Because I’m happy, can’t explain  
Like a rhythm in the rain  
Hands up high, just let it be  
This is how it feels to be free"
Dark Horse,Katy Perry and Juicy J,2014,2,"dark, seductive, mystical","trap beat, mystical synths",trap-pop,"[Intro]
Are you ready for a perfect storm?  

[Verse]
I play with lightning in my veins  
I kiss the fire, break the chains  
Don’t say yes unless you know  
Once you fall, I won’t let go  

[Chorus]
This is magic, dark and deep  
I’ll haunt your soul, I’ll steal your sleep  
You asked for power, now you see  
I’m the one you couldn’t read  

[Verse]
Velvet words, a diamond lie  
I paint my spells across the sky  
You thought you’d win this little game  
But now you're caught inside my flame  

[Bridge]
Be careful with the wish you cast  
Not every love is meant to last  

[Chorus]
This is magic, dark and deep  
I’ll haunt your soul, I’ll steal your sleep  
You asked for power, now you see  
I’m the one you couldn’t read"
All of Me,John Legend,2014,3,"romantic, heartfelt, sincere",piano ballad,"R&B, soul","[Verse]
What would I do without your flaws?  
You break the rules, rewrite the laws  
You’re chaos dressed in Sunday white  
But I would love you every night  

[Chorus]
All of me loves all of you  
Every scar and shade of blue  
You’re my heart and I’m your proof  
That all of me belongs to you  

[Verse]
You lose your way, I’ll be your map  
You fall apart, I’ll hold the gap  
Even when you push away  
I’ll be right here, I’ll always stay  

[Bridge]
You don’t have to be the light  
I’ll still see you in the night  

[Chorus]
All of me loves all of you  
Every scar and shade of blue  
You’re my heart and I’m your proof  
That all of me belongs to you"
Fancy,Iggy Azalea feat. Charli XCX,2014,4,"sassy, playful, bold","synths, trap beat, female vocals",pop rap,"[Intro]
First things first...  

[Verse]
Rollin’ through the city lights  
Turnin’ heads, we own the night  
From the runway to the street  
Got that fire, feel the heat  

[Chorus]
We so fancy, watch us glow  
From the ceiling to the floor  
Flash that gold, make ‘em freeze  
We write the rules, we do as we please  

[Verse]
Champagne flutes and tinted glass  
Breakin’ hearts with every pass  
Don’t need a crown, don’t need a throne  
We shine harder on our own  

[Bridge]
Catch us now, or miss the ride  
We the storm, we the tide  

[Chorus]
We so fancy, watch us glow  
From the ceiling to the floor  
Flash that gold, make ‘em freeze  
We write the rules, we do as we please"
Counting Stars,OneRepublic,2014,5,"inspirational, dramatic, poppy","guitar, piano, pop rock beat",pop rock,"[Verse]
Lately I’ve been losing sleep  
Dreaming dreams I couldn’t keep  
Tired of counting all the cost  
In the numbers, I got lost  

[Chorus]
No more counting stars tonight  
Gonna chase what feels so right  
Let the current pull me free  
I believe in what will be  

[Verse]
Made of fire, made of dust  
I’m learning now who I can trust  
If I fall, then let it be  
I’m still dancing with the sea  

[Bridge]
Trade regrets for burning skies  
Give me truth, forget the lies  

[Chorus]
No more counting stars tonight  
Gonna chase what feels so right  
Let the current pull me free  
I believe in what will be"
Uptown Funk,Mark Ronson feat. Bruno Mars,2015,1,"funky, energetic, nostalgic","funk brass, groove rhythm, male vocals","funk, pop","[Intro]
Doh! This hit, that ice cold...  

[Verse]
Step out fresh in a tailored suit  
Shoes so slick, I don’t need to boot  
We run this town, we run this beat  
Snap your fingers, move your feet  

[Chorus]
Uptown funk, don’t give a damn  
We groove hard, we break the jam  
From streetlight glam to velvet touch  
Uptown brings it, just too much  

[Verse]
Stop, wait a minute  
Pour that rhythm, now get in it  
Silk and gold, that throwback vibe  
This is soul, this is pride  

[Bridge]
If you sexy and you know it  
Let that uptown rhythm show it  

[Chorus]
Uptown funk, don’t give a damn  
We groove hard, we break the jam  
From streetlight glam to velvet touch  
Uptown brings it, just too much"
Thinking Out Loud,Ed Sheeran,2015,2,"romantic, classic, elegant","guitar, soft ballad instrumentation",ballad,"[Verse]
When your smile has faded lines  
And your eyes lose track of time  
I will still be standing near  
Holding all you are, my dear  

[Chorus]
I’m thinking out loud tonight  
Loving you just feels so right  
We may grow old and slow  
But I’ll never let you go  

[Verse]
When the stars forget to shine  
I’ll remind them that you're mine  
Every wrinkle, every scar  
Maps the road to where you are  

[Bridge]
Hearts don’t age when they belong  
To the soul that wrote their song  

[Chorus]
I’m thinking out loud tonight  
Loving you just feels so right  
We may grow old and slow  
But I’ll never let you go"
See You Again,Wiz Khalifa feat. Charlie Puth,2015,3,"tribute, sad, soulful","piano, rap, emotional vocals",rap ballad,"[Verse]
It’s been a long road without your face  
I still feel your voice in this empty place  
Every mile we ever crossed  
Still holds the light from what we lost  

[Chorus]
And I’ll see you again someday  
When the hurt fades all away  
We said goodbye, but not the end  
I’ll always wait to see you again  

[Verse]
Shared those dreams, built those nights  
You’re still the spark behind my fights  
Though you’re gone, you’re still right here  
In every laugh, in every tear  

[Bridge]
No more words, just hold me near  
Till we meet again, I’ll keep you here  

[Chorus]
And I’ll see you again someday  
When the hurt fades all away  
We said goodbye, but not the end  
I’ll always wait to see you again"
Trap Queen,Fetty Wap,2015,4,"braggadocious, catchy, bold","trap beats, melodic rap",trap,"[Intro]
Remy boys, yeah  

[Verse]
She my trap queen, always right  
Countin’ stacks, we own the night  
From the kitchen to the range  
She with me through every change  

[Chorus]
My trap queen, she hold it down  
Run this hustle, run this town  
Stack that green and flip the flame  
She the queen behind my name  

[Verse]
We whip it up, we make it work  
Turn the struggle into worth  
Got loyalty, she never fold  
She’s a diamond, set in gold  

[Bridge]
They can talk, they don’t compare  
To what we got, we ride with care  

[Chorus]
My trap queen, she hold it down  
Run this hustle, run this town  
Stack that green and flip the flame  
She the queen behind my name"
Sugar,Maroon 5,2015,5,"sweet, lighthearted, upbeat","pop guitars, falsetto vocals",pop rock,"[Verse]
I'm craving more than candy sweet  
Your love is what I need to eat  
Every touch, a sugar rush  
Can’t get enough of your soft crush  

[Chorus]
Sugar, I need it bad  
You’re the sweetest thing I’ve had  
Come on down and melt this heart  
Let’s not tear this world apart  

[Verse]
I’ve been lonely, I’ve been dry  
You bring the sparkle in my sky  
Your kiss is like a dream I keep  
A honeyed dive into the deep  

[Bridge]
Let me in, don’t hold away  
I’ll be your sweet tooth every day  

[Chorus]
Sugar, I need it bad  
You’re the sweetest thing I’ve had  
Come on down and melt this heart  
Let’s not tear this world apart"
Love Yourself,Justin Bieber,2016,1,"biting, mellow, confessional","acoustic guitar, minimal beat","pop, acoustic","[Verse]
You said I wasn’t good enough  
Made me question all my stuff  
Turned my heart to second place  
But I’ve moved on from your embrace  

[Chorus]
So if you like the way you look so much  
Maybe you should love yourself  
You tore me down with every touch  
But I’ve found someone else  

[Verse]
I used to chase your point of view  
Now I see what’s really true  
You played the game, you played it well  
But now I’ve left your little shell  

[Bridge]
Don’t need your name to feel complete  
I’ve learned to stand on my own feet  

[Chorus]
So if you like the way you look so much  
Maybe you should love yourself  
You tore me down with every touch  
But I’ve found someone else"
Sorry,Justin Bieber,2016,2,"regretful, tropical, catchy","dancehall rhythm, synths",dancehall-pop,"[Verse]
I messed up, that much is clear  
I let you down, now you’re not here  
I said some things I can’t erase  
But I still long to see your face  

[Chorus]
Is it too late now to say sorry?  
Can we find a way back from this story?  
I never meant to let you go  
Please tell me you still know  

[Verse]
I replay all the fights, the cries  
Wishing I had made it right  
No excuses, just regret  
You’re the one I won’t forget  

[Bridge]
If I could rewind, I’d choose again  
Start from love and not pretend  

[Chorus]
Is it too late now to say sorry?  
Can we find a way back from this story?  
I never meant to let you go  
Please tell me you still know"
One Dance,Drake feat. Wizkid and Kyla,2016,3,"sensual, rhythmic, low-key","Afrobeats influence, sparse vocals","Afrobeats, pop","[Verse]
Baby, I need just one more move  
Your body close, we find our groove  
The night is short, the beat is strong  
One more dance to right the wrong  

[Chorus]
I need one dance, just you and me  
Lose ourselves, just let it be  
In your arms, I find my peace  
Don’t let this rhythm ever cease  

[Verse]
The lights are dim, the crowd fades out  
But you’re the only thing I’m about  
Swaying slow, locked in time  
Your heartbeat echoing in mine  

[Bridge]
Let’s make this moment stretch and bend  
Until the dawn becomes the end  

[Chorus]
I need one dance, just you and me  
Lose ourselves, just let it be  
In your arms, I find my peace  
Don’t let this rhythm ever cease"
Work,Rihanna feat. Drake,2016,4,"seductive, danceable, hypnotic","Caribbean beat, duet vocals",dancehall-pop,"[Verse]
Workin' all day, just to come home  
Feelin’ like I’m out here on my own  
You say you care, but where you been?  
I need more than texts at ten  

[Chorus]
Work, work, that’s all we do  
But I need time to vibe with you  
Less talk, more action now  
Show me love, I’ll show you how  

[Verse]
You always run, you never stay  
But love don't work that kind of way  
I want the truth, not just a game  
Don’t let it all go down in flames  

[Bridge]
Don’t make me fight for every kiss  
Let’s turn the work into some bliss  

[Chorus]
Work, work, that’s all we do  
But I need time to vibe with you  
Less talk, more action now  
Show me love, I’ll show you how"
Stressed Out,Twenty One Pilots,2016,5,"anxious, nostalgic, existential","alt-pop instrumentation, male vocals",alternative pop,"[Verse]
I wish I found some better sounds  
That made me feel less run to ground  
Back when I dreamed without regret  
Now I’m just tryna forget  

[Chorus]
Wish we could turn back time  
To the good old days  
When momma sang us to sleep  
Now we're stressed out in grown-up ways  

[Verse]
Bills and noise and deadlines stack  
Ain’t no map to take me back  
The world grew up, I lost my place  
Now I’m a stranger in this race  

[Bridge]
We traded joy for normal lives  
But we still dream behind our eyes  

[Chorus]
Wish we could turn back time  
To the good old days  
When momma sang us to sleep  
Now we're stressed out in grown-up ways"
